Sample.ID	Patient.ID	changed
127399_SOFT_TISSUE	127399	wt
143B_BONE	143B	wt
201T_LUNG	201T	wt
22RV1_PROSTATE	22RV1	wt
2313287_STOMACH	2313287	wt
253J_URINARY_TRACT	253J	wt
253JBV_URINARY_TRACT	253JBV	wt
42MGBA_CENTRAL_NERVOUS_SYSTEM	42MGBA	wt
451LU_SKIN	451LU	wt
5637_URINARY_TRACT	5637	wt
59M_OVARY	59M	wt
639V_URINARY_TRACT	639V	wt
647V_URINARY_TRACT	647V	wt
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697	wt
769P_KIDNEY	769P	wt
786O_KIDNEY	786O	wt
8305C_THYROID	8305C	wt
8505C_THYROID	8505C	wt
8MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA	wt
A101D_SKIN	A101D	mut
A1207_CENTRAL_NERVOUS_SYSTEM	A1207	wt
A172_CENTRAL_NERVOUS_SYSTEM	A172	wt
A204_SOFT_TISSUE	A204	wt
A2058_SKIN	A2058	mut
A253_SALIVARY_GLAND	A253	wt
A2780_OVARY	A2780	mut
A375_SKIN	A375	wt
A388_SKIN	A388	wt
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3KAW	wt
A427_LUNG	A427	wt
A431_SKIN	A431	wt
A498_KIDNEY	A498	wt
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK	wt
A549_LUNG	A549	wt
A673_BONE	A673	wt
A704_KIDNEY	A704	wt
ABC1_LUNG	ABC1	wt
ACCMESO1_PLEURA	ACCMESO1	wt
ACCS_URINARY_TRACT	ACCS	wt
ACHN_KIDNEY	ACHN	wt
ACN_AUTONOMIC_GANGLIA	ACN	mut
AGS_STOMACH	AGS	wt
ALEXANDERCELLS_LIVER	ALEXANDERCELLS	wt
ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALLPO	wt
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALLSIL	wt
AM38_CENTRAL_NERVOUS_SYSTEM	AM38	wt
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193	wt
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO1	wt
AN3CA_ENDOMETRIUM	AN3CA	wt
ANGMCSS_CENTRAL_NERVOUS_SYSTEM	ANGMCSS	wt
ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ARH77	wt
ASH3_THYROID	ASH3	wt
ASPC1_PANCREAS	ASPC1	wt
ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ATN1	wt
AU565_BREAST	AU565	wt
AZ521_STOMACH	AZ521	wt
BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BALL1	wt
BB30HNC_UPPER_AERODIGESTIVE_TRACT	BB30HNC	wt
BB49HNC_UPPER_AERODIGESTIVE_TRACT	BB49HNC	wt
BB65RCC_KIDNEY	BB65RCC	wt
BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BC1	wt
BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BC3	wt
BC3C_URINARY_TRACT	BC3C	wt
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP1	wt
BCPAP_THYROID	BCPAP	wt
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM	wt
BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BE13	wt
BE2M17_AUTONOMIC_GANGLIA	BE2M17	wt
BECKER_CENTRAL_NERVOUS_SYSTEM	BECKER	wt
BEN_LUNG	BEN	wt
BFTC905_URINARY_TRACT	BFTC905	wt
BFTC909_KIDNEY	BFTC909	wt
BGC823_STOMACH	BGC823	wt
BHT101_THYROID	BHT101	wt
BHY_UPPER_AERODIGESTIVE_TRACT	BHY	wt
BICR10_UPPER_AERODIGESTIVE_TRACT	BICR10	wt
BICR16_UPPER_AERODIGESTIVE_TRACT	BICR16	wt
BICR22_UPPER_AERODIGESTIVE_TRACT	BICR22	wt
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR31	wt
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR56	wt
BICR6_UPPER_AERODIGESTIVE_TRACT	BICR6	wt
BICR78_UPPER_AERODIGESTIVE_TRACT	BICR78	wt
BIN67_OVARY	BIN67	wt
BJHTERT_SKIN	BJHTERT	wt
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL41	wt
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL70	wt
BLUE1_HAEMATOPOIETIC_AND_LYMPHOID	BLUE1	wt
BONNA12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BONNA12	wt
BPH1_PROSTATE	BPH1	wt
BT12_SOFT_TISSUE	BT12	wt
BT16_SOFT_TISSUE	BT16	wt
BT20_BREAST	BT20	mut
BT474_BREAST	BT474	wt
BT483_BREAST	BT483	wt
BT549_BREAST	BT549	wt
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BV173	wt
BXPC3_PANCREAS	BXPC3	wt
C10_LARGE_INTESTINE	C10	wt
C125PM_LARGE_INTESTINE	C125PM	wt
C2BBE1_LARGE_INTESTINE	C2BBE1	wt
C32_SKIN	C32	mut
C33A_CERVIX	C33A	mut
C3A_LIVER	C3A	wt
C4I_CERVIX	C4I	wt
