Sample ID	Patient ID	changed
RVH421_SKIN	RVH421_SKIN	mut
NCIH2227_LUNG	NCIH2227_LUNG	
COLO205_LARGE_INTESTINE	COLO205_LARGE_INTESTINE	mut
OUMS23_LARGE_INTESTINE	OUMS23_LARGE_INTESTINE	
NCIH2087_LUNG	NCIH2087_LUNG	mut
SKMEL1_SKIN	SKMEL1_SKIN	mut
DU4475_BREAST	DU4475_BREAST	mut
NCIH508_LARGE_INTESTINE	NCIH508_LARGE_INTESTINE	mut
NCIH1651_LUNG	NCIH1651_LUNG	
NCIH1666_LUNG	NCIH1666_LUNG	
OC316_OVARY	OC316_OVARY	
HS936T_SKIN	HS936T_SKIN	
SKMEL28_SKIN	SKMEL28_SKIN	mut
BHY_UPPER_AERODIGESTIVE_TRACT	BHY_UPPER_AERODIGESTIVE_TRACT	
SH4_SKIN	SH4_SKIN	mut
BICR18_UPPER_AERODIGESTIVE_TRACT	BICR18_UPPER_AERODIGESTIVE_TRACT	
HEC1B_ENDOMETRIUM	HEC1B_ENDOMETRIUM	
HCC1588_LUNG	HCC1588_LUNG	
HT115_LARGE_INTESTINE	HT115_LARGE_INTESTINE	
SNUC5_LARGE_INTESTINE	SNUC5_LARGE_INTESTINE	mut
SNUC4_LARGE_INTESTINE	SNUC4_LARGE_INTESTINE	
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
JHOM2B_OVARY	JHOM2B_OVARY	mut
MDAMB231_BREAST	MDAMB231_BREAST	
OV90_OVARY	OV90_OVARY	
WM115_SKIN	WM115_SKIN	mut
CCK81_LARGE_INTESTINE	CCK81_LARGE_INTESTINE	
COLO800_SKIN	COLO800_SKIN	mut
RL952_ENDOMETRIUM	RL952_ENDOMETRIUM	
UACC62_SKIN	UACC62_SKIN	mut
MFE319_ENDOMETRIUM	MFE319_ENDOMETRIUM	
KYSE180_OESOPHAGUS	KYSE180_OESOPHAGUS	
