Sample.ID	Patient.ID	changed
DMS53_LUNG	DMS53_LUNG	wt
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
NCIH2227_LUNG	NCIH2227_LUNG	wt
OV56_OVARY	OV56_OVARY	wt
KYSE450_OESOPHAGUS	KYSE450_OESOPHAGUS	wt
RMUGS_OVARY	RMUGS_OVARY	wt
HS895T_FIBROBLAST	HS895T_FIBROBLAST	wt
NH6_AUTONOMIC_GANGLIA	NH6_AUTONOMIC_GANGLIA	wt
OUMS27_BONE	OUMS27_BONE	wt
HS940T_FIBROBLAST	HS940T_FIBROBLAST	wt
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
COV318_OVARY	COV318_OVARY	wt
NCIH2085_LUNG	NCIH2085_LUNG	wt
NCIH510_LUNG	NCIH510_LUNG	wt
NCIH1341_LUNG	NCIH1341_LUNG	wt
NCIH2029_LUNG	NCIH2029_LUNG	wt
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
NCIH1651_LUNG	NCIH1651_LUNG	wt
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
ISTMES1_PLEURA	ISTMES1_PLEURA	wt
T173_FIBROBLAST	T173_FIBROBLAST	wt
HS618T_FIBROBLAST	HS618T_FIBROBLAST	wt
HS870T_FIBROBLAST	HS870T_FIBROBLAST	wt
PANC1_PANCREAS	PANC1_PANCREAS	wt
T47D_BREAST	T47D_BREAST	wt
HS742T_FIBROBLAST	HS742T_FIBROBLAST	wt
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR56_UPPER_AERODIGESTIVE_TRACT	wt
TE10_OESOPHAGUS	TE10_OESOPHAGUS	wt
BICR6_UPPER_AERODIGESTIVE_TRACT	BICR6_UPPER_AERODIGESTIVE_TRACT	wt
SH4_SKIN	SH4_SKIN	wt
CGTHW1_THYROID	CGTHW1_THYROID	wt
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HPAC_PANCREAS	HPAC_PANCREAS	wt
SU8686_PANCREAS	SU8686_PANCREAS	wt
HCC33_LUNG	HCC33_LUNG	wt
TE6_OESOPHAGUS	TE6_OESOPHAGUS	wt
ACCMESO1_PLEURA	ACCMESO1_PLEURA	wt
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
OSRC2_KIDNEY	OSRC2_KIDNEY	wt
HUH6_LIVER	HUH6_LIVER	wt
SHSY5Y_AUTONOMIC_GANGLIA	SHSY5Y_AUTONOMIC_GANGLIA	wt
TM31_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	wt
SNU1272_KIDNEY	SNU1272_KIDNEY	wt
KPNRTBM1_AUTONOMIC_GANGLIA	KPNRTBM1_AUTONOMIC_GANGLIA	wt
YD15_SALIVARY_GLAND	YD15_SALIVARY_GLAND	wt
UBLC1_URINARY_TRACT	UBLC1_URINARY_TRACT	wt
YD10B_UPPER_AERODIGESTIVE_TRACT	YD10B_UPPER_AERODIGESTIVE_TRACT	wt
HCC2279_LUNG	HCC2279_LUNG	wt
HLC1_LUNG	HLC1_LUNG	wt
VMRCLCP_LUNG	VMRCLCP_LUNG	wt
SNU1077_ENDOMETRIUM	SNU1077_ENDOMETRIUM	wt
HCC1588_LUNG	HCC1588_LUNG	wt
TE8_OESOPHAGUS	TE8_OESOPHAGUS	wt
JHUEM3_ENDOMETRIUM	JHUEM3_ENDOMETRIUM	wt
NCIH838_LUNG	NCIH838_LUNG	wt
GSS_STOMACH	GSS_STOMACH	wt
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
OV90_OVARY	OV90_OVARY	wt
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HLF_LIVER	HLF_LIVER	wt
SF295_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	wt
JHH1_LIVER	JHH1_LIVER	wt
NCIH2228_LUNG	NCIH2228_LUNG	wt
SKMES1_LUNG	SKMES1_LUNG	wt
FU97_STOMACH	FU97_STOMACH	wt
HCC15_LUNG	HCC15_LUNG	wt
SKLU1_LUNG	SKLU1_LUNG	wt
GOS3_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	wt
A204_SOFT_TISSUE	A204_SOFT_TISSUE	wt
RERFLCMS_LUNG	RERFLCMS_LUNG	wt
DANG_PANCREAS	DANG_PANCREAS	wt
NCIH460_LUNG	NCIH460_LUNG	wt
EFE184_ENDOMETRIUM	EFE184_ENDOMETRIUM	wt
CAOV4_OVARY	CAOV4_OVARY	wt
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KNS81_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	wt
MKN1_STOMACH	MKN1_STOMACH	wt
MKN74_STOMACH	MKN74_STOMACH	wt
KP3_PANCREAS	KP3_PANCREAS	wt
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HUH7_LIVER	HUH7_LIVER	wt
KMBC2_URINARY_TRACT	KMBC2_URINARY_TRACT	wt
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
KALS1_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	wt
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HUH28_BILIARY_TRACT	HUH28_BILIARY_TRACT	wt
CAL12T_LUNG	CAL12T_LUNG	wt
