Sample.ID	Patient.ID	changed
DMS53_LUNG	DMS53	wt
NCIH1694_LUNG	NCIH1694	wt
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P3HR1	wt
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUT78	wt
UMUC3_URINARY_TRACT	UMUC3	wt
HOS_BONE	HOS	wt
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUNS1	wt
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193	wt
RVH421_SKIN	RVH421	wt
NCIH1184_LUNG	NCIH1184	wt
HCC2157_BREAST	HCC2157	wt
TC71_BONE	TC71	wt
NCIH2227_LUNG	NCIH2227	wt
COLO205_LARGE_INTESTINE	COLO205	wt
SNU449_LIVER	SNU449	wt
NCIH28_PLEURA	NCIH28	wt
OV56_OVARY	OV56	wt
KYSE450_OESOPHAGUS	KYSE450	wt
RMUGS_OVARY	RMUGS	wt
KLE_ENDOMETRIUM	KLE	wt
HS895T_FIBROBLAST	HS895T	wt
LN229_CENTRAL_NERVOUS_SYSTEM	LN229	wt
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ	wt
RKN_SOFT_TISSUE	RKN	wt
PATU8988S_PANCREAS	PATU8988S	wt
NH6_AUTONOMIC_GANGLIA	NH6	wt
RERFLCAD2_LUNG	RERFLCAD2	wt
OUMS23_LARGE_INTESTINE	OUMS23	wt
OUMS27_BONE	OUMS27	wt
NCIH2347_LUNG	NCIH2347	wt
SW1990_PANCREAS	SW1990	wt
HS940T_FIBROBLAST	HS940T	wt
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HS611T	wt
RERFGC1B_STOMACH	RERFGC1B	wt
HT1080_SOFT_TISSUE	HT1080	wt
NCIH2087_LUNG	NCIH2087	wt
COV318_OVARY	COV318	wt
NCIH2085_LUNG	NCIH2085	wt
NCIH510_LUNG	NCIH510	wt
CAKI1_KIDNEY	CAKI1	wt
NCIH716_LARGE_INTESTINE	NCIH716	wt
NCIH2066_LUNG	NCIH2066	wt
NCIH2029_LUNG	NCIH2029	wt
C3A_LIVER	C3A	wt
SW480_LARGE_INTESTINE	SW480	wt
HS746T_STOMACH	HS746T	wt
LU65_LUNG	LU65	wt
HS739T_FIBROBLAST	HS739T	wt
MSTO211H_PLEURA	MSTO211H	wt
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RAJI	wt
SKMEL1_SKIN	SKMEL1	wt
JHH7_LIVER	JHH7	wt
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUT102	wt
5637_URINARY_TRACT	5637	wt
DU4475_BREAST	DU4475	wt
NCIH1573_LUNG	NCIH1573	wt
NCIH1651_LUNG	NCIH1651	wt
MDAMB175VII_BREAST	MDAMB175VII	wt
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUPB15	wt
BECKER_CENTRAL_NERVOUS_SYSTEM	BECKER	wt
NCIH1666_LUNG	NCIH1666	wt
SW1783_CENTRAL_NERVOUS_SYSTEM	SW1783	wt
ISTMES1_PLEURA	ISTMES1	wt
NCIH1734_LUNG	NCIH1734	wt
EBC1_LUNG	EBC1	wt
HS936T_SKIN	HS936T	wt
T173_FIBROBLAST	T173	wt
NCIH322_LUNG	NCIH322	wt
HS618T_FIBROBLAST	HS618T	wt
HS870T_FIBROBLAST	HS870T	wt
PANC1_PANCREAS	PANC1	wt
NCIH2291_LUNG	NCIH2291	wt
HS742T_FIBROBLAST	HS742T	wt
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR56	wt
SKMEL28_SKIN	SKMEL28	wt
BHY_UPPER_AERODIGESTIVE_TRACT	BHY	wt
SH4_SKIN	SH4	wt
CGTHW1_THYROID	CGTHW1	wt
TUHR4TKB_KIDNEY	TUHR4TKB	wt
LS123_LARGE_INTESTINE	LS123	wt
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL	wt
RCC10RGB_KIDNEY	RCC10RGB	wt
JHOM1_OVARY	JHOM1	wt
HCC33_LUNG	HCC33	wt
JHOC5_OVARY	JHOC5	wt
ACCMESO1_PLEURA	ACCMESO1	wt
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL41	wt
CORL105_LUNG	CORL105	wt
LMSU_STOMACH	LMSU	wt
COLO668_LUNG	COLO668	wt
OSRC2_KIDNEY	OSRC2	wt
