Sample.ID	Patient.ID	changed
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
HEC59_ENDOMETRIUM	HEC59_ENDOMETRIUM	mut
RH30_SOFT_TISSUE	RH30_SOFT_TISSUE	wt
X143B_BONE	X143B_BONE	wt
TE6_OESOPHAGUS	TE6_OESOPHAGUS	wt
NCIH1437_LUNG	NCIH1437_LUNG	wt
BT20_BREAST	BT20_BREAST	wt
SNB19_CENTRAL_NERVOUS_SYSTEM	SNB19_CENTRAL_NERVOUS_SYSTEM	wt
U251MG_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	wt
WM2664_SKIN	WM2664_SKIN	wt
CAL78_BONE	CAL78_BONE	wt
X8MGBA_CENTRAL_NERVOUS_SYSTEM	X8MGBA_CENTRAL_NERVOUS_SYSTEM	wt
NCIH838_LUNG	NCIH838_LUNG	wt
TT_OESOPHAGUS	TT_OESOPHAGUS	wt
NCIH23_LUNG	NCIH23_LUNG	mut
MCF7_BREAST	MCF7_BREAST	wt
KPL1_BREAST	KPL1_BREAST	wt
SNU119_OVARY	SNU119_OVARY	wt
WM115_SKIN	WM115_SKIN	wt
SNU738_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	wt
SKNBE2_AUTONOMIC_GANGLIA	SKNBE2_AUTONOMIC_GANGLIA	wt
NCIH2170_LUNG	NCIH2170_LUNG	wt
HCC1195_LUNG	HCC1195_LUNG	mut
KU1919_URINARY_TRACT	KU1919_URINARY_TRACT	mut
IPC298_SKIN	IPC298_SKIN	mut
SKMEL2_SKIN	SKMEL2_SKIN	mut
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SNU81_LARGE_INTESTINE	SNU81_LARGE_INTESTINE	mut
JHUEM7_ENDOMETRIUM	JHUEM7_ENDOMETRIUM	mut
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
HEC151_ENDOMETRIUM	HEC151_ENDOMETRIUM	mut
TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
PA1_OVARY	PA1_OVARY	mut
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
HAL01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAL01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
HS852T_SKIN	HS852T_SKIN	mut
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
MM127_SKIN	MM127_SKIN	mut
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
639V_URINARY_TRACT	639V_URINARY_TRACT	mut
NCIH661_LUNG	NCIH661_LUNG	wt
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
FU97_STOMACH	FU97_STOMACH	wt
ACCMESO1_PLEURA	ACCMESO1_PLEURA	wt
HCC1833_LUNG	HCC1833_LUNG	wt
COGE352_BONE	COGE352_BONE	wt
LAN2_AUTONOMIC_GANGLIA	LAN2_AUTONOMIC_GANGLIA	wt
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
TT_THYROID	TT_THYROID	wt
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
CFPAC1_PANCREAS	CFPAC1_PANCREAS	mut
NCIH727_LUNG	NCIH727_LUNG	mut
BEN_LUNG	BEN_LUNG	wt
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
KYSE410_OESOPHAGUS	KYSE410_OESOPHAGUS	mut
SW837_LARGE_INTESTINE	SW837_LARGE_INTESTINE	mut
SNUC2A_LARGE_INTESTINE	SNUC2A_LARGE_INTESTINE	mut
PK45H_PANCREAS	PK45H_PANCREAS	mut
PANC1005_PANCREAS	PANC1005_PANCREAS	mut
CHAGOK1_LUNG	CHAGOK1_LUNG	wt
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR31_UPPER_AERODIGESTIVE_TRACT	wt
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	PECAPJ49_UPPER_AERODIGESTIVE_TRACT	wt
JIMT1_BREAST	JIMT1_BREAST	wt
ZR751_BREAST	ZR751_BREAST	mut
PL45_PANCREAS	PL45_PANCREAS	wt
MDAMB175VII_BREAST	MDAMB175VII_BREAST	wt
BHY_UPPER_AERODIGESTIVE_TRACT	BHY_UPPER_AERODIGESTIVE_TRACT	wt
SNUC4_LARGE_INTESTINE	SNUC4_LARGE_INTESTINE	wt
CCK81_LARGE_INTESTINE	CCK81_LARGE_INTESTINE	wt
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HCC1187_BREAST	HCC1187_BREAST	wt
C2BBE1_LARGE_INTESTINE	C2BBE1_LARGE_INTESTINE	wt
SNU503_LARGE_INTESTINE	SNU503_LARGE_INTESTINE	wt
NCIH1693_LUNG	NCIH1693_LUNG	wt
SLR26_KIDNEY	SLR26_KIDNEY	wt
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
UACC893_BREAST	UACC893_BREAST	wt
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
X2313287_STOMACH	X2313287_STOMACH	wt
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
CORL279_LUNG	CORL279_LUNG	
HS633T_SOFT_TISSUE	HS633T_SOFT_TISSUE	mut
WIL2NS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	WIL2NS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
HCC2998_LARGE_INTESTINE	HCC2998_LARGE_INTESTINE	mut
ML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	mut
C80_LARGE_INTESTINE	C80_LARGE_INTESTINE	mut
OVK18_OVARY	OVK18_OVARY	mut
SNU175_LARGE_INTESTINE	SNU175_LARGE_INTESTINE	mut
SNU1076_UPPER_AERODIGESTIVE_TRACT	SNU1076_UPPER_AERODIGESTIVE_TRACT	wt
SNU478_BILIARY_TRACT	SNU478_BILIARY_TRACT	wt
NCIH1703_LUNG	NCIH1703_LUNG	wt
HCC1806_BREAST	HCC1806_BREAST	wt
DMS53_LUNG	DMS53_LUNG	wt
KLE_ENDOMETRIUM	KLE_ENDOMETRIUM	wt
SKMEL1_SKIN	SKMEL1_SKIN	wt
EBC1_LUNG	EBC1_LUNG	wt
NCIH322_LUNG	NCIH322_LUNG	wt
CGTHW1_THYROID	CGTHW1_THYROID	wt
HCC33_LUNG	HCC33_LUNG	wt
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
NIHOVCAR3_OVARY	NIHOVCAR3_OVARY	wt
HCC1395_BREAST	HCC1395_BREAST	wt
SCC4_UPPER_AERODIGESTIVE_TRACT	SCC4_UPPER_AERODIGESTIVE_TRACT	wt
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
HCC95_LUNG	HCC95_LUNG	wt
WM983B_SKIN	WM983B_SKIN	wt
MEWO_SKIN	MEWO_SKIN	wt
CORL88_LUNG	CORL88_LUNG	wt
OAW28_OVARY	OAW28_OVARY	wt
SNU1079_BILIARY_TRACT	SNU1079_BILIARY_TRACT	wt
SKMEL31_SKIN	SKMEL31_SKIN	wt
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	wt
